"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-let-7a-2-3p ",221.5,208.666666666667,225.5,194,207.083333333333,203.333333333333
"hsa-let-7a-3p ",472.166666666667,382.166666666667,636.666666666667,128.5,660.333333333333,307
"hsa-let-7a-5p ",239290,213596.166666667,239290,167204,167204,167204
"hsa-let-7b-3p ",462.166666666667,412.666666666667,486.666666666667,325.583333333333,530.666666666667,358.583333333333
"hsa-let-7b-5p ",88611.3333333333,119978.5,72483,239290,69027.3333333333,133158.166666667
"hsa-let-7c-3p ",161.083333333333,171,192,135.5,482.5,162
"hsa-let-7c-5p ",21221.3333333333,21221.3333333333,22428.5,72483,40711.1666666667,27474.8333333333
"hsa-let-7d-3p ",872.5,803,803,985,872.5,921.833333333333
"hsa-let-7d-5p ",5140.33333333333,4723,5716.16666666667,4820.16666666667,6228.83333333333,5529.16666666667
"hsa-let-7e-3p ",218.833333333333,201,234.333333333333,141.333333333333,235.416666666667,162
"hsa-let-7e-5p ",11559.1666666667,9423,13055.8333333333,5257.83333333333,9423,6922.83333333333
"hsa-let-7f-1-3p ",123.333333333333,110.166666666667,141.333333333333,105.333333333333,141.333333333333,107.333333333333
"hsa-let-7f-2-3p ",110.833333333333,117.583333333333,127.166666666667,97.5833333333333,119,108.5
"hsa-let-7f-5p ",100028.666666667,75422.5,154252,21221.3333333333,119978.5,75422.5
"hsa-let-7g-5p ",63114.5,63114.5,79368.8333333333,18560.5,75422.5,63114.5
"hsa-let-7i-3p ",492.416666666667,486.666666666667,460.083333333333,383.333333333333,598.666666666667,627.333333333333
"hsa-let-7i-5p ",477948.666666667,477948.666666667,477948.666666667,477948.666666667,477948.666666667,477948.666666667
"hsa-miR-1-3p ",420.5,303,530.666666666667,195.5,402.833333333333,420.5
"hsa-miR-100-3p ",122.333333333333,118.333333333333,129.166666666667,98.6666666666667,145.166666666667,124.416666666667
"hsa-miR-100-5p ",647117.333333333,647117.333333333,647117.333333333,740471.5,647117.333333333,647117.333333333
"hsa-miR-101-3p ",4439.16666666667,4979.33333333333,3924,6694.66666666667,10045.6666666667,7378.16666666667
"hsa-miR-10395-3p ",98.1666666666667,110.166666666667,92,99.3333333333333,96,95.5
"hsa-miR-10399-5p ",101.75,102.666666666667,102.416666666667,95.75,99.3333333333333,96
"hsa-miR-103a-3p ",26899.3333333333,25360.9166666667,28239.75,9734.33333333333,23413.25,19013.1666666667
"hsa-miR-103b ",26899.3333333333,25360.9166666667,28239.75,9734.33333333333,23413.25,19013.1666666667
"hsa-miR-10527-5p ",115.166666666667,116,117.583333333333,137.5,94.5,104.166666666667
"hsa-miR-106a-5p ",96,98.5,97.3333333333333,97.5833333333333,92.8333333333333,98.5833333333333
"hsa-miR-106b-3p ",1288.16666666667,1401.66666666667,1067,2916.83333333333,1144.83333333333,2054.33333333333
"hsa-miR-106b-5p ",509.833333333333,583,441.666666666667,1150.66666666667,616.5,1002
"hsa-miR-107 ",1566.83333333333,1471.83333333333,1744.83333333333,704.166666666667,1718.66666666667,1943.66666666667
"hsa-miR-10a-3p ",1232,1232,1401.66666666667,357.666666666667,1641.66666666667,1339.83333333333
"hsa-miR-10a-5p ",60425,60425,63114.5,29004.6666666667,83763.6666666667,60425
"hsa-miR-10b-3p ",277.333333333333,286.333333333333,284.25,546,823,746.833333333333
"hsa-miR-10b-5p ",14291,13590.5,18560.5,22428.5,60425,40711.1666666667
"hsa-miR-1180-3p ",352,338.833333333333,309.5,921.833333333333,328.5,593.666666666667
"hsa-miR-1185-1-3p ",616.5,636.666666666667,616.5,219.333333333333,598.666666666667,530.666666666667
"hsa-miR-1185-2-3p ",313.833333333333,276,299.333333333333,121.083333333333,294.333333333333,199.833333333333
"hsa-miR-1185-5p ",115.166666666667,102.666666666667,136.666666666667,90.3333333333333,127.166666666667,97.3333333333333
"hsa-miR-1197 ",125.833333333333,117.583333333333,141.333333333333,92.5,118.333333333333,98.5833333333333
"hsa-miR-12136 ",121.083333333333,157.166666666667,110.666666666667,211,101.166666666667,132.75
"hsa-miR-122-5p ",117.583333333333,103.833333333333,100.333333333333,239.666666666667,114.75,124.416666666667
"hsa-miR-1226-3p ",98.1666666666667,99.3333333333333,95.5,104.166666666667,90.25,93.3333333333333
"hsa-miR-122b-3p ",104.083333333333,96.75,95.5,176.083333333333,99.3333333333333,111.25
"hsa-miR-122b-5p ",101.75,96.75,105.333333333333,93.6666666666667,100.333333333333,92.8333333333333
